Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Type_of_order,Type_of_vehicle,temperature,humidity,precipitation,weather_description,Traffic_Level,Distance_km,TARGET
34.0,4.6,22.31279,73.170283,22.40279,73.260283,Snack ,motorcycle ,22.48,43.0,0.0,clear sky,Moderate,17.32,31.81666667
23.0,4.7,12.323978,76.627961,12.343978,76.647961,Drinks ,motorcycle ,20.56,68.0,0.0,clear sky,Low,4.86,23.05
29.0,4.5,26.849596,75.800512,26.909596,75.860512,Buffet ,scooter ,19.62,68.0,0.0,haze,Moderate,12.61,28.03333333
26.0,4.3,19.121999,72.908493,19.131999,72.918493,Snack ,motorcycle ,27.69,57.0,0.0,smoke,Low,2.98,21.38333333
37.0,4.8,13.086438,80.220672,13.106438,80.240672,Drinks ,motorcycle ,26.31,88.0,0.0,mist,Low,4.61,31.35
20.0,3.8,13.02978,80.208812,13.03978,80.218812,Snack ,motorcycle ,28.34,81.0,0.0,mist,Very Low,2.13,14.43333333
36.0,4.7,0.0,0.0,0.06,0.06,Meal ,motorcycle ,26.28,84.0,0.0,broken clouds,High,13.4,35.98333333
28.0,4.6,9.966783,76.242981,9.986783,76.262981,Snack ,motorcycle ,23.04,83.0,0.0,scattered clouds,Moderate,5.78,33.1
26.0,4.8,21.170096,72.789122,21.280096,72.899122,Snack ,motorcycle ,22.85,43.0,0.0,clear sky,High,22.99,48.03333333
31.0,4.7,15.506205,73.766668,15.536205,73.796668,Meal ,motorcycle ,28.6,74.0,0.0,mist,Low,7.79,23.06666667
35.0,4.9,22.31279,73.170283,22.34279,73.200283,Drinks ,scooter ,22.85,43.0,0.0,clear sky,Low,6.59,24.0
27.0,4.6,13.091809,80.219104,13.181809,80.309104,Drinks ,motorcycle ,28.35,82.0,0.0,overcast clouds,Very High,23.8,60.81666667
29.0,4.6,19.120083,72.907385,19.150083,72.937385,Snack ,electric_scooter ,27.0,44.0,0.0,smoke,Moderate,6.09,30.61666667
21.0,4.6,12.934179,77.615797,12.984179,77.665797,Buffet ,electric_scooter ,23.18,73.0,0.0,haze,High,11.88,37.76666667
22.0,4.8,22.745536,75.893106,22.835536,75.983106,Buffet ,motorcycle ,23.24,44.0,0.0,clear sky,High,19.05,38.95
28.0,4.9,9.957144,76.296783,10.017144,76.356783,Meal ,scooter ,22.89,94.0,0.0,mist,Moderate,13.65,31.58333333
27.0,4.9,12.323194,76.630583,12.333194,76.640583,Snack ,motorcycle ,20.54,67.0,0.0,clear sky,Very Low,3.67,13.73333333
35.0,4.4,12.321214,76.621094,12.411214,76.711094,Snack ,motorcycle ,18.37,82.0,0.0,broken clouds,Moderate,18.24,35.36666667
29.0,4.6,22.728163,75.884212,22.768163,75.924212,Drinks ,motorcycle ,22.1,60.0,0.0,haze,Moderate,8.77,34.38333333
36.0,4.9,26.90294,75.793007,26.92294,75.813007,Drinks ,motorcycle ,19.6,68.0,0.0,haze,Low,3.76,21.05
24.0,4.2,12.323225,76.630028,12.333225,76.640028,Meal ,motorcycle ,20.54,67.0,0.0,clear sky,Very Low,3.28,7.566666667
20.0,4.8,12.323194,76.630583,12.373194,76.680583,Snack ,scooter ,18.38,81.0,0.0,broken clouds,Moderate,10.65,32.83333333
26.0,4.7,23.333017,85.3172,23.413017,85.3972,Meal ,motorcycle ,16.23,94.0,0.0,mist,High,13.3,35.48333333
33.0,4.7,22.310526,73.170937,22.370526,73.230937,Drinks ,motorcycle ,19.01,82.0,0.0,haze,Moderate,13.47,38.38333333
26.0,4.6,25.449659,81.839744,25.559659,81.949744,Snack ,motorcycle ,25.02,44.0,0.0,clear sky,Very High,21.74,57.65
33.0,4.8,22.745536,75.893106,22.815536,75.963106,Snack ,scooter ,17.21,72.0,0.0,haze,Moderate,16.14,34.0
34.0,4.5,22.551084,88.354127,22.571084,88.374127,Meal ,electric_scooter ,22.97,83.0,0.0,haze,Low,4.15,13.61666667
24.0,4.7,0.0,0.0,0.09,0.09,Buffet ,scooter ,26.27,84.0,0.0,broken clouds,High,13.4,35.98333333
36.0,5.0,0.0,0.0,0.07,0.07,Meal ,motorcycle ,26.28,84.0,0.0,broken clouds,High,13.4,35.98333333
22.0,4.9,22.744648,75.894377,22.874648,76.024377,Drinks ,motorcycle ,22.24,44.0,0.0,clear sky,Very High,31.62,59.5
37.0,4.2,21.185047,72.80859,21.225047,72.84859,Drinks ,motorcycle ,23.01,43.0,0.0,clear sky,Low,9.35,28.86666667
29.0,4.6,19.221315,72.862381,19.231315,72.872381,Buffet ,scooter ,27.77,57.0,0.0,smoke,Low,2.58,18.08333333
38.0,4.9,22.695207,75.866059,22.775207,75.946059,Drinks ,motorcycle ,17.08,72.0,0.0,haze,High,19.59,49.53333333
22.0,4.3,19.055831,72.833984,19.125831,72.903984,Buffet ,electric_scooter ,28.84,54.0,0.0,smoke,High,19.61,46.48333333
34.0,4.4,26.474986,80.342796,26.554986,80.422796,Meal ,motorcycle ,21.67,56.0,0.0,clear sky,High,20.69,42.2
23.0,4.9,26.911927,75.797282,26.981927,75.867282,Buffet ,motorcycle ,23.83,46.0,0.0,haze,High,13.96,41.3
25.0,4.8,23.371292,85.327872,23.421292,85.377872,Drinks ,motorcycle ,20.21,83.0,0.0,mist,High,9.19,45.73333333
20.0,5.0,0.0,0.0,0.02,0.02,Buffet ,motorcycle ,26.29,85.0,0.11,light rain,High,13.4,35.98333333
36.0,4.8,21.149569,72.772697,21.259569,72.882697,Meal ,scooter ,22.89,43.0,0.0,clear sky,High,24.21,43.35
35.0,4.5,21.15276,72.778059,21.18276,72.808059,Meal ,scooter ,23.57,44.0,0.0,clear sky,Low,6.21,15.45
24.0,4.8,17.430448,78.418213,17.440448,78.428213,Meal ,motorcycle ,23.9,57.0,0.0,haze,Low,2.92,12.91666667
35.0,5.0,13.026286,80.275235,13.056286,80.305235,Snack ,scooter ,26.52,87.0,0.0,mist,Low,4.84,22.03333333
28.0,4.6,11.02091,76.940432,11.07091,76.990432,Snack ,scooter ,24.87,73.0,0.0,mist,High,14.7,41.16666667
27.0,4.9,12.986047,80.218114,13.026047,80.258114,Buffet ,scooter ,28.46,81.0,0.0,mist,Moderate,10.89,28.86666667
25.0,5.0,11.024839,77.007003,11.034839,77.017003,Meal ,motorcycle ,24.87,73.0,0.0,mist,Very Low,2.29,10.31666667
27.0,3.7,21.185047,72.80859,21.215047,72.83859,Snack ,motorcycle ,24.92,73.0,0.0,mist,Low,6.42,23.43333333
39.0,4.1,22.651847,75.881991,22.661847,75.891991,Meal ,motorcycle ,16.96,72.0,0.0,haze,Low,2.31,13.08333333
24.0,4.6,19.120083,72.907385,19.210083,72.997385,Buffet ,electric_scooter ,28.04,57.0,0.0,smoke,High,17.77,39.15
29.0,5.0,21.183434,72.814492,21.233434,72.864492,Drinks ,electric_scooter ,24.95,73.0,0.0,mist,Moderate,11.01,37.06666667
24.0,4.8,18.520016,73.830547,18.530016,73.840547,Snack ,motorcycle ,19.21,64.0,0.0,clear sky,Low,2.89,15.23333333
32.0,4.9,23.374878,85.335739,23.424878,85.385739,Snack ,motorcycle ,21.27,78.0,0.0,mist,High,10.37,39.71666667
27.0,4.6,18.520016,73.830547,18.650016,73.960547,Snack ,motorcycle ,23.32,48.0,0.0,clear sky,Very High,23.97,60.51666667
33.0,4.8,22.569358,88.433452,22.599358,88.463452,Buffet ,motorcycle ,28.03,65.0,0.0,haze,Moderate,8.38,24.73333333
29.0,4.9,18.55144,73.804855,18.62144,73.874855,Meal ,motorcycle ,18.97,65.0,0.0,clear sky,High,17.24,41.86666667
36.0,5.0,22.308096,73.167753,22.438096,73.297753,Buffet ,motorcycle ,22.35,43.0,0.0,clear sky,High,24.3,39.28333333
38.0,4.6,21.15276,72.778059,21.17276,72.798059,Buffet ,scooter ,23.72,44.0,0.0,clear sky,Low,3.84,13.73333333
31.0,4.2,22.310237,73.158921,22.380237,73.228921,Buffet ,electric_scooter ,23.99,64.0,0.0,haze,Moderate,13.04,27.53333333
24.0,4.7,25.449872,81.836167,25.459872,81.846167,Buffet ,motorcycle ,25.46,43.0,0.0,clear sky,Very Low,3.46,12.01666667
23.0,4.6,17.431477,78.40035,17.521477,78.49035,Snack ,motorcycle ,23.7,57.0,0.0,haze,High,22.48,50.61666667
36.0,4.6,12.334022,76.618203,12.354022,76.638203,Drinks ,electric_scooter ,20.54,67.0,0.0,clear sky,Low,4.49,22.28333333
33.0,4.7,12.323978,76.627961,12.383978,76.687961,Meal ,motorcycle ,18.37,82.0,0.0,broken clouds,Moderate,15.09,31.73333333
26.0,4.8,10.994136,76.963303,11.074136,77.043303,Buffet ,motorcycle ,25.03,73.0,0.0,mist,High,15.4,36.45
22.0,4.9,22.553227,88.353273,22.613227,88.413273,Meal ,motorcycle ,22.99,83.0,0.0,haze,High,12.01,44.16666667
25.0,4.9,18.530963,73.828972,18.640963,73.938972,Meal ,scooter ,19.22,65.0,0.0,clear sky,Very High,26.52,62.9
22.0,4.6,17.41233,78.449654,17.44233,78.479654,Drinks ,scooter ,21.58,66.0,0.0,broken clouds,Low,6.99,27.16666667
23.0,4.7,21.160522,72.771477,21.190522,72.801477,Meal ,motorcycle ,24.97,73.0,0.0,mist,Low,5.91,20.1
